Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
modDemonKatanaSpellScrollTyrantSwordOfDestructionDesc,item_modifiers,mod,,,Increases base damage to entities. Change attack speed. Change item durability.,,,,,,エンティティへの基本ダメージが増加します。 攻撃速度を変更します。 アイテムの耐久性を変更します。,,,,,,增加对实体的基础伤害。改变攻击速度。改变道具耐久值。,增加對實體的基礎傷害。改變攻擊速度。改變道具耐久值。,

modDemonKatanaSpellScrollPluralMerge203,item_modifiers,mod,,,Burst,,,,,,爆裂,,,,,,爆裂,爆裂,
modDemonKatanaSpellScrollPluralMerge203Desc,item_modifiers,mod,,,"Compresses the thermals, causing them to explode, with a chance to knock the target over.",,,,,,サーマルを圧縮して爆発させ、ターゲットを倒すチャンスがあります。,,,,,,压缩热气流使其爆炸，有机率使目标跌倒。,壓縮熱氣流使其爆炸，有機率使目標跌倒。,
modDemonKatanaSpellScrollPluralMerge205,item_modifiers,mod,,,Flowing Flame,,,,,,流焰,,,,,,流焰,流焰,
modDemonKatanaSpellScrollPluralMerge205Desc,item_modifiers,mod,,,"Gather the burning elements around the target to explode, and cause burning damage to other targets within the range.",,,,,,ターゲットの周りの燃焼要素を集めて爆発させ、範囲内の他のターゲットに燃焼ダメージを与えます。,,,,,,聚集目标周围的燃烧元素使其爆发，并且对范围内其他目标造成燃烧伤害。,聚集目標周圍的燃燒元素使其爆發，並且對範圍內其他目標造成燃燒傷害。,
modDemonKatanaSpellScrollPluralMerge206,item_modifiers,mod,,,Magnetic Burst,,,,,,磁爆,,,,,,磁爆,磁爆,
modDemonKatanaSpellScrollPluralMerge206Desc,item_modifiers,mod,,,"Quickly gather dark clouds to deal electric shock damage to the target, cause shock damage to other targets within the range, and have a chance to cause a fall.",,,,,,暗い雲をすばやく集めてターゲットに電気ショックダメージを与え、範囲内の他のターゲットにショックダメージを与え、ノックダウンするチャンスがあります。,,,,,,快速聚集乌云对目标施放电击伤害，对范围内其他目标造成感电伤害，并且有机率造成跌倒。,快速聚集烏雲對目標施放電擊傷害，對範圍內其他目標造成感電傷害，並且有機率造成跌倒。,
modDemonKatanaSpellScrollPluralMerge209,item_modifiers,mod,,,Poisonous Fog,,,,,,毒霧,,,,,,毒雾,毒霧,
modDemonKatanaSpellScrollPluralMerge209Desc,item_modifiers,mod,,,"Casting gas poisons the target, slows running speed, and spreads gas damage to other targets within range.",,,,,,ガスを投げるとターゲットが毒になり、走行速度が遅くなり、範囲内の他のターゲットにガスダメージが広がります。,,,,,,施放毒气使目标中毒，降低跑步速度，并且对范围内其他目标传播毒气伤害。,施放毒氣使目標中毒，降低跑步速度，並且對範圍內其他目標傳播毒氣傷害。,
modDemonKatanaSpellScrollPluralMerge210,item_modifiers,mod,,,Piercing,,,,,,刺骨,,,,,,刺骨,刺骨,
modDemonKatanaSpellScrollPluralMerge210Desc,item_modifiers,mod,,,"The ground instantly protrudes from the ice cone, causing freezing damage, reducing movement speed and attack speed.",,,,,,地面は即座にアイスコーンから突き出て、凍結ダメージを引き起こし、移動速度と攻撃速度を低下させます。,,,,,,地面瞬间突出冰椎造成冰冻伤害，降低移动速度与攻击速度。,地面瞬間突出冰椎造成冰凍傷害，降低移動速度與攻擊速度。,
modDemonKatanaSpellScrollPluralMerge212,item_modifiers,mod,,,Corruption,,,,,,腐化,,,,,,腐化,腐化,
modDemonKatanaSpellScrollPluralMerge212Desc,item_modifiers,mod,,,"Liquefy the gas with the electric shock effect, slowing the target's movement speed and reducing physical resistance.",,,,,,感電効果でガスを液化し、ターゲットの移動速度を遅くし、物理的抵抗を減らします。,,,,,,利用电击效应将毒气液化，使目标降低移动速度，并降低物理抗性。,利用電擊效應將毒氣液化，使目標降低移動速度，並降低物理抗性。,
modDemonKatanaSpellScrollPluralMerge217,item_modifiers,mod,,,Flame Bite,,,,,,焰噬,,,,,,焰噬,焰噬,
modDemonKatanaSpellScrollPluralMerge217Desc,item_modifiers,mod,,,"Ignite the ground to cause fire to burn, and the target has a chance to be killed instantly. When the target is a radiant zombie, temporarily stop the function of restoring life.",,,,,,地面に火をつけて火を燃やすと、ターゲットは即座に殺される可能性があります。 ターゲットがラディアントゾンビの場合、体力回復機能を一時停止します。,,,,,,点燃地面造成大火燃烧，目标有机率被即死。当目标为辐射型僵尸时，暂时停止回血功能。,點燃地面造成大火燃燒，目標有機率被即死。當目標為輻射型殭屍時，暫時停止回血功能。,
modDemonKatanaSpellScrollPluralMerge218,item_modifiers,mod,,,Frostbite,,,,,,凍傷,,,,,,冻伤,凍傷,
modDemonKatanaSpellScrollPluralMerge218Desc,item_modifiers,mod,,,"Condenses the water vapor around the target to form a huge mass of ice air, reducing movement speed and attack speed, and causing freezing damage to other targets within the range.",,,,,,ターゲットの周りの水蒸気を凝縮して巨大な氷の空気を形成し、移動速度と攻撃速度を低下させ、範囲内の他のターゲットに凍結ダメージを与えます。,,,,,,凝聚目标周围的水气形成巨大的冰气团，降低移动速度与攻击速度，并且对范围内其他目标造成冰冻伤害。,凝聚目標周圍的水氣形成巨大的冰氣團，降低移動速度與攻擊速度，並且對範圍內其他目標造成冰凍傷害。,
modDemonKatanaSpellScrollPluralMerge220,item_modifiers,mod,,,Hurricane,,,,,,颶風,,,,,,飓风,颶風,
modDemonKatanaSpellScrollPluralMerge220Desc,item_modifiers,mod,,,"Unleash a strong airflow, the target has a chance to fall and cause a slowing effect.",,,,,,強い気流を解き放ち、ターゲットをノックダウンするチャンスがあり、スローイング効果を引き起こします。,,,,,,使出强力气流，目标有机率跌倒，并且造成缓速效果。,使出強力氣流，目標有機率跌倒，並且造成緩速效果。,
modDemonKatanaSpellScrollPluralMerge224,item_modifiers,mod,,,White Bones,,,,,,白骨,,,,,,白骨,白骨,
modDemonKatanaSpellScrollPluralMerge224Desc,item_modifiers,mod,,,"Casts a strong corrosive gas, slows running speed, and has a chance to die.",,,,,,強い腐食性ガスを放出し、走行速度を遅くし、即座に死ぬ可能性があります。,,,,,,施放强烈腐蚀性毒气，降低跑步速度，并且有机率即死。,施放強烈腐蝕性毒氣，降低跑步速度，並且有機率即死。,

modDemonKatanaSpellScrollPluralMerge307,item_modifiers,mod,,,Flames from the underworld,,,,,,陰火,,,,,,阴火,陰火,
modDemonKatanaSpellScrollPluralMerge307Desc,item_modifiers,mod,,,"The summoned oni breathes fire towards the target, and spreads burning damage to other targets within the range.",,,,,,召喚されたゴーストはターゲットに向かって火を吐き、範囲内の他のターゲットに燃えるダメージを広げます。,,,,,,召唤鬼面对目标喷火，并且对范围内其他目标扩散燃烧伤害。,召喚鬼面對目標噴火，並且對範圍內其他目標擴散燃燒傷害。,
modDemonKatanaSpellScrollPluralMerge311,item_modifiers,mod,,,Hailstone,,,,,,氷雹,,,,,,冰雹,冰雹,
modDemonKatanaSpellScrollPluralMerge311Desc,item_modifiers,mod,,,"Condenses the water vapor around the target, and a large amount of hail quickly falls from the air, causing freezing damage and reducing movement speed and attack speed.",,,,,,ターゲットの周りの水蒸気を凝縮し、大量の雹が空気から急速に落下し、凍結による損傷を引き起こし、移動速度と攻撃速度を低下させます。,,,,,,凝聚目标周围的水气，大量冰雹快速从空而降，造成冰冻伤害，降低移动速度与攻击速度。,凝聚目標周圍的水氣，大量冰雹快速從空而降，造成冰凍傷害，降低移動速度與攻擊速度。,
modDemonKatanaSpellScrollPluralMerge313,item_modifiers,mod,,,Torrent,,,,,,奔流,,,,,,奔流,奔流,
modDemonKatanaSpellScrollPluralMerge313Desc,item_modifiers,mod,,,Channel the static buildup around the target to create a giant electromagnetic ball that slows movement and inflicts an electrified state.,,,,,,ターゲットの周りに静的な蓄積を導き、動きを遅くして帯電状態を与える巨大な電磁ボールを作成します。,,,,,,引导目标周围的静电聚集产生巨大的电磁球，降低移动速度并造成感电状态。,引導目標周圍的靜電聚集產生巨大的電磁球，降低移動速度並造成感電狀態。,
modDemonKatanaSpellScrollPluralMerge314,item_modifiers,mod,,,Disease,,,,,,疫病,,,,,,疫病,疫病,
modDemonKatanaSpellScrollPluralMerge314Desc,item_modifiers,mod,,,"Condenses toxic elements around the target, releases a large amount at one time, reduces running speed, and spreads to other targets within the range. The more the number, the greater the spread.",,,,,,ターゲットの周りに有毒な元素を凝縮し、一度に大量に放出し、走行速度を低下させ、範囲内の他のターゲットに拡散します。数が多いほど、拡散は大きくなります。,,,,,,凝聚目标周围毒性元素，进行一次性大量释放，降低跑步速度，并且对范围内其他目标进行传播，数量越多扩散越大。,凝聚目標周圍毒性元素，進行一次性大量釋放，降低跑步速度，並且對範圍內其他目標進行傳播，數量越多擴散越大。,
modDemonKatanaSpellScrollPluralMerge319,item_modifiers,mod,,,Vortex,,,,,,旋渦,,,,,,旋涡,旋渦,
modDemonKatanaSpellScrollPluralMerge319Desc,item_modifiers,mod,,,"Using the principle of hot and cold convection to create a huge airflow cyclone, the target has a chance to fall.",,,,,,高温と低温の対流の原理を使用して、巨大な気流の旋風を作り出し、ターゲットをノックダウンするチャンスがあります。,,,,,,运用冷热对流的原理造成巨大的气流旋风，使目标有机率跌倒。,運用冷熱對流的原理造成巨大的氣流旋風，使目標有機率跌倒。,
modDemonKatanaSpellScrollPluralMerge321,item_modifiers,mod,,,Flame Shield,,,,,,炎盾,,,,,,炎盾,炎盾,
modDemonKatanaSpellScrollPluralMerge321Desc,item_modifiers,mod,,,"Activate the Shield of Flame Spirit, sacrificing your running speed and water in exchange for more cold resistance, reduce damage, and cast burning damage to other targets within the range.",,,,,,シールドオブフレイムスピリットをアクティブにして、より多くの耐寒性とより少ないダメージと引き換えに、あなたの走行速度と水を犠牲にします。\n範囲内の他のターゲットに灼熱のダメージを与えます。,,,,,,发动炎灵之盾，牺牲自己的跑步速度与水分，换取更多的抗寒能力，并且减少受到的伤害。 \n对范围内的其他目标施放燃烧伤害。,發動炎靈之盾，犧牲自己的跑步速度與水分，換取更多的抗寒能力，並且減少受到的傷害。\n對範圍內的其他目標施放燃燒傷害。,
modDemonKatanaSpellScrollPluralMerge322,item_modifiers,mod,,,Three Realms,,,,,,三界,,,,,,三界,三界,
modDemonKatanaSpellScrollPluralMerge322Desc,item_modifiers,mod,,,"Gather the three elements of fire, electricity and poison to form a huge updraft, reduce movement speed, and have a chance to release Chaos Echo.",,,,,,火、電気、毒の3つの要素を集めて、巨大な上昇気流を形成し、移動速度を落とし、混沌回音を解放するチャンスがあります。,,,,,,聚集火电毒三元素，形成巨大的上升气流，降低移动速度，并且有机率释放混沌回音。,聚集火電毒三元素，形成巨大的上升氣流，降低移動速度，並且有機率釋放混沌回音。,
modDemonKatanaSpellScrollPluralMerge325,item_modifiers,mod,,,Strong Cut,,,,,,強斬,,,,,,强斩,強斬,
modDemonKatanaSpellScrollPluralMerge325Desc,item_modifiers,mod,,,"Unleash a powerful blow on the target, severing everything, and will continue to bleed to death due to the powerful lethality.",,,,,,ターゲットに強力な打撃を与え、すべてを切断し、強力な致死性のために出血して死に続けます。,,,,,,对目标使出强力一击，斩断一切，受到强大的杀伤力会不断的流血致死。,對目標使出強力一擊，斬斷一切，受到強大的殺傷力會不斷的流血致死。,
modDemonKatanaSpellScrollPluralMerge326,item_modifiers,mod,,,Vampire,,,,,,吸血,,,,,,吸血,吸血,
modDemonKatanaSpellScrollPluralMerge326Desc,item_modifiers,mod,,,Sacrifice your hunger in exchange for the ability to restore life. Each attack can restore a small amount of life.,,,,,,活力を回復する能力と引き換えに空腹を犠牲にします。各攻撃は少量の活力を回復することができます。,,,,,,牺牲自己的饱食度，换取恢复生命力的能力，每一次的攻击可以恢复少许的生命力。,犧牲自己的飽食度，換取恢復生命力的能力，每一次的攻擊可以恢復少許的生命力。,
modDemonKatanaSpellScrollPluralMerge328,item_modifiers,mod,,,Destroy the soul,,,,,,滅魂,,,,,,灭魂,滅魂,
modDemonKatanaSpellScrollPluralMerge328Desc,item_modifiers,mod,,,"Lock the soul, reduce the movement speed, and end the round with a powerful blow.",,,,,,魂をロックし、移動速度を下げ、強力な打撃でラウンドを終了します。,,,,,,锁住魂魄，降低移动速度，使出强力一击结束这回合。,鎖住魂魄，降低移動速度，使出強力一擊結束這回合。,
modDemonKatanaSpellScrollPluralMerge329,item_modifiers,mod,,,SunWheel,,,,,,日輪,,,,,,日轮,日輪,
modDemonKatanaSpellScrollPluralMerge329Desc,item_modifiers,mod,,,Sacrifice your total stamina to reduce the physical attack damage of enemies within the range.,,,,,,合計スタミナを犠牲にして、範囲内のターゲットの物理攻撃力を減らします。,,,,,,牺牲自己的总耐力值，降低范围内目标的实体攻击力。,犧牲自己的總耐力值，降低範圍內目標的實體攻擊力。,
modDemonKatanaSpellScrollPluralMerge330,item_modifiers,mod,,,Lunar Eclipse,,,,,,月蝕,,,,,,月蚀,月蝕,
modDemonKatanaSpellScrollPluralMerge330Desc,item_modifiers,mod,,,Sacrifice your total stamina to reduce the block attack damage of enemies within range.,,,,,,スタミナの合計を犠牲にして、範囲内のターゲットのブロック攻撃力を減らします。,,,,,,牺牲自己的总耐力值，降低范围内目标的方块攻击力。,犧牲自己的總耐力值，降低範圍內目標的方塊攻擊力。,
modDemonKatanaSpellScrollPluralMerge331,item_modifiers,mod,,,Curse tie up,,,,,,咒縛,,,,,,咒缚,咒縛,
modDemonKatanaSpellScrollPluralMerge331Desc,item_modifiers,mod,,,"Sacrifice your own movement ability, affect the movement ability of enemies within the range, and increase the damage value of the enemy.",,,,,,自分の移動能力を犠牲にして、範囲内のターゲットの移動能力に影響を与え、ターゲットのダメージ値を増やします。,,,,,,牺牲自己的移动能力，影响范围内目标的移动能力，并增加目标的被伤害值。,犧牲自己的移動能力，影響範圍內目標的移動能力，並增加目標的被傷害值。,

modDemonKatanaSpellScrollPluralMerge415,item_modifiers,mod,,,Hell Fire,,,,,,地獄業火,,,,,,地狱业火,地獄業火,
modDemonKatanaSpellScrollPluralMerge415Desc,item_modifiers,mod,,,"Lock the main target, cast a fire tornado on other targets within the range, and finally deal a large amount of damage to the target at one time.",,,,,,メインターゲットをロックし、範囲内の他のターゲットに火竜巻を投げ、最後にメインターゲットに一度に大きなダメージを与えます。,,,,,,锁住主要目标，对范围内其他目标施放火龙卷，最后再对主要目标进行一次性大量伤害。,鎖住主要目標，對範圍內其他目標施放火龍捲，最後再對主要目標進行一次性大量傷害。,
modDemonKatanaSpellScrollPluralMerge423,item_modifiers,mod,,,Glacier Cracking,,,,,,氷川砕裂,,,,,,冰川碎裂,冰川碎裂,
modDemonKatanaSpellScrollPluralMerge423Desc,item_modifiers,mod,,,"Lock the main target, cause a freezing effect to other targets within the range, and finally deal a one-time freezing damage to the target.",,,,,,メインターゲットをロックし、範囲内の他のターゲットにフリーズ効果を引き起こし、最後にメインターゲットに1回のフリーズダメージを与えます。,,,,,,锁住主要目标，对范围内其他目标造成冰冻效果，最后再对主要目标进行一次性冰冻伤害。,鎖住主要目標，對範圍內其他目標造成冰凍效果，最後再對主要目標進行一次性冰凍傷害。,
modDemonKatanaSpellScrollPluralMerge427,item_modifiers,mod,,,Extreme Energy,,,,,,極限電能,,,,,,极限电能,極限電能,
modDemonKatanaSpellScrollPluralMerge427Desc,item_modifiers,mod,,,"Lock the main target, continuously cast powerful electric shock damage within the range, and finally deal a one-time electric shock damage to the target.",,,,,,メインターゲットをロックし、範囲内で強力な電気ショックダメージを継続的にキャストし、最後にメインターゲットに1回の電気ショックダメージを与えます。,,,,,,锁住主要目标，持续对范围内施放强大的电击伤害，最后再对主要目标进行一次性电击伤害。,鎖住主要目標，持續對範圍內施放強大的電擊傷害，最後再對主要目標進行一次性電擊傷害。,
modDemonKatanaSpellScrollPluralMerge429,item_modifiers,mod,,,Toxic Rain,,,,,,漫天毒雨,,,,,,漫天毒雨,漫天毒雨,
modDemonKatanaSpellScrollPluralMerge429Desc,item_modifiers,mod,,,"Lock the main target, poisonous rain continues to fall within the range, the running speed is reduced, and finally a one-time poisonous gas damage is applied to the target.",,,,,,メインターゲットをロックし、範囲内に有毒な雨を継続的に落とし、走行速度を落とし、最後にメインターゲットに1回限りの有毒ガスダメージを与えます。,,,,,,锁住主要目标，范围内不断降下毒雨，降低跑步速度，最后再对主要目标进行一次性毒气伤害。,鎖住主要目標，範圍內不斷降下毒雨，降低跑步速度，最後再對主要目標進行一次性毒氣傷害。,
modDemonKatanaSpellScrollPluralMerge430,item_modifiers,mod,,,Bladestorm,,,,,,飛刃風暴,,,,,,飞刃风暴,飛刃風暴,
modDemonKatanaSpellScrollPluralMerge430Desc,item_modifiers,mod,,,"Lock the main target, continuously release powerful airflow within the range, other targets will fall immediately, and finally deal a large amount of damage to the target at one time.",,,,,,メインターゲットをロックし、範囲内で強力な気流を継続的に解放すると、他のターゲットはすぐにノックダウンされ、最終的にメインターゲットに一度に大きなダメージを与えます。,,,,,,锁住主要目标，范围内不断释放强大气流，其他目标会立即跌倒，最后再对主要目标进行一次性大量伤害。,鎖住主要目標，範圍內不斷釋放強大氣流，其他目標會立即跌倒，最後再對主要目標進行一次性大量傷害。,
modDemonKatanaSpellScrollPluralMerge531,item_modifiers,mod,,,Foru spirits of heaven,,,,,,天之四霊,,,,,,天之四灵,天之四靈,
modDemonKatanaSpellScrollPluralMerge531Desc,item_modifiers,mod,,,"After the energy accumulation is completed, normal attacks can release Molecular Filling in a small area of the target, and powerful attacks can release Destroy in a small area of the target.",,,,,,通常の攻撃はターゲットの小さな領域に分子充填をキャストでき、強力な攻撃はターゲットの小さな領域に破壊をキャストできます。,,,,,,聚能完成后，普通攻击可对目标小范围内施放分子填充，强力攻击可对目标小范围内施放毁灭。,聚能完成後，普通攻擊可對目標小範圍內施放分子填充，強力攻擊可對目標小範圍內施放毀滅。,
modDemonKatanaSpellScrollPluralMerge532,item_modifiers,mod,,,Katana Rain,,,,,,刀雨,,,,,,刀雨,刀雨,
modDemonKatanaSpellScrollPluralMerge532Desc,item_modifiers,mod,,,"Launch a Katana Rain attack on the target within the range, and a powerful attack can launch Thousands of swords through the heart.",,,,,,範囲内のターゲットにナイフレインアタックを自動的に開始し、強力なアタックを開始して単一のターゲットの心臓を突き刺します。,,,,,,对范围内目标自动发动刀雨攻击，强力攻击对单一目标发动百斩穿心。,對範圍內目標自動發動刀雨攻擊，強力攻擊對單一目標發動百斬穿心。,

buffIvSpellScroll321Name,buffs,Buff,,,Flame Shield,,,,,,炎盾,,,,,,炎盾,炎盾,
buffIvSpellScroll321Desc,buffs,Buff,,,"Protected by the flame spirit, increase the resistance to cold and reduce the damage received, but the water continues to decline, and the running speed is reduced.",,,,,,炎の精によって保護され、耐寒性を高め、受けるダメージを減らしますが、水は減少し続け、走行速度は低下します。,,,,,,受到炎灵的保护，提升对寒冷抗性，并降低受到的伤害，但是水分不断的下降，跑步速度降低。,受到炎靈的保護，提升對寒冷抗性，並降低受到的傷害，但是水分不斷的下降，跑步速度降低。,
buffIvSpellScroll322ChaosEchoName,buffs,Buff,,,Chaos Echo,,,,,,混沌回音,,,,,,混沌回音,混沌回音,
buffIvSpellScroll322ChaosEchoDesc,buffs,Buff,,,"The elemental power released from the target increases the noise intensity, increases the physical damage, increases the object damage, and increases the attack speed, but also increases the consumption of stamina.",,,,,,ターゲットから放出される元素パワーは、ノイズ強度を増加させ、物理的ダメージを増加させ、オブジェクトのダメージを増加させ、攻撃速度を増加させますが、スタミナの消費も増加させます。,,,,,,来自目标所释放的元素之力，增加噪音强度，增加实体伤害力，增加物体伤害力，增加攻击速度，但是也增加了耐力的消耗。,來自目標所釋放的元素之力，增加噪音強度，增加實體傷害力，增加物體傷害力，增加攻擊速度，但是也增加了耐力的消耗。,
buffIvSpellScroll326Name,buffs,Buff,,,Vampire,,,,,,吸血,,,,,,吸血,吸血,
buffIvSpellScroll326Desc,buffs,Buff,,,"Sacrifice your own hunger, each attack can restore a small amount of life.",,,,,,空腹を犠牲にして、攻撃のたびに少量の体力を回復します。,,,,,,牺牲自己的饱食度，每一次的攻击可以恢复少许的生命力。,犧牲自己的飽食度，每一次的攻擊可以恢復少許的生命力。,
buffIvSpellScroll329Name,buffs,Buff,,,SunWheel,,,,,,日輪,,,,,,日轮,日輪,
buffIvSpellScroll329Desc,buffs,Buff,,,Reduces physical attack damage to targets within range. \nReduce your total stamina.,,,,,,範囲内のターゲットへの物理的な攻撃力を減らします。\n総スタミナを減らします。,,,,,,对范围内的目标降低实体攻击力。 \n降低自己的总耐力值。,對範圍內的目標降低實體攻擊力。\n降低自己的總耐力值。,
buffIvSpellScroll330Name,buffs,Buff,,,Lunar Eclipse,,,,,,月蝕,,,,,,月蚀,月蝕,
buffIvSpellScroll330Desc,buffs,Buff,,,Reduces block attack damage to targets within range. \nReduce your total stamina.,,,,,,範囲内のターゲットへのブロック攻撃力を減らします。\n総スタミナを減らします。,,,,,,对范围内的目标降低方块攻击力。 \n降低自己的总耐力值。,對範圍內的目標降低方塊攻擊力。\n降低自己的總耐力值。,
buffIvSpellScroll331Name,buffs,Buff,,,Curse tie up,,,,,,咒縛,,,,,,咒缚,咒縛,
buffIvSpellScroll331Desc,buffs,Buff,,,Affects the movement ability of the target within the range and increases the damage taken. \nBut reduce your mobility.,,,,,,範囲内のターゲットの移動能力に影響を与え、受けるダメージを増加させます。\nしかし、自身の機動性は低下します。,,,,,,影响范围内目标的移动能力，并增加被伤害值。 \n降低自己的移动能力。,影響範圍內目標的移動能力，並增加被傷害值。\n降低自己的移動能力。,
buffIvSpellScroll531Name,buffs,Buff,,,Foru spirits of heaven,,,,,,天之四霊,,,,,,天之四灵,天之四靈,
buffIvSpellScroll531Desc,buffs,Buff,,,"Blessed by the four spirits and beasts, normal attacks can use Molecular Filling spells, and powerful attacks can use Destroy spells.",,,,,,フォースピリチュアルビーストに祝福されて、通常の攻撃は分子充填呪文を唱えることができますが、強力な攻撃は破壊的な呪文を唱えることができます。,,,,,,受到四灵神兽的加持，普通攻击可以使出分子填充的法术，强力攻击可以使出毁灭的法术。,受到四靈神獸的加持，普通攻擊可以使出分子填充的法術，強力攻擊可以使出毀滅的法術。,
buffIvSpellScroll532Name,buffs,Buff,,,Katana Rain,,,,,,刀雨,,,,,,刀雨,刀雨,
buffIvSpellScroll532Desc,buffs,Buff,,,"Launch a Katana Rain attack on the target within the range, and a powerful attack can launch Thousands of swords through the heart.",,,,,,範囲内のターゲットを自動的に攻撃し、ナイフの雨を継続的に投げます。\n強力な攻撃はターゲットの心臓を突き刺す可能性があります。,,,,,,自动攻击范围内的目标，不断施放刀雨。 \n强力攻击可对目标使出百斩穿心。,自動攻擊範圍內的目標，不斷施放刀雨。\n強力攻擊可對目標使出百斬穿心。,

buffIvSpellScroll217_ChargName,buffs,Buff,,,Flame Bite,,,,,,焰噬,,,,,,焰噬,焰噬,
buffIvSpellScroll218_ChargName,buffs,Buff,,,Frostbite,,,,,,凍傷,,,,,,冻伤,凍傷,
buffIvSpellScroll307_ChargName,buffs,Buff,,,Flames from the underworld,,,,,,陰火,,,,,,阴火,陰火,
buffIvSpellScroll311_ChargName,buffs,Buff,,,Hailstone,,,,,,氷雹,,,,,,冰雹,冰雹,
buffIvSpellScroll313_ChargName,buffs,Buff,,,Torrent,,,,,,奔流,,,,,,奔流,奔流,
buffIvSpellScroll314_ChargName,buffs,Buff,,,Disease,,,,,,疫病,,,,,,疫病,疫病,
buffIvSpellScroll319_ChargName,buffs,Buff,,,Vortex,,,,,,旋渦,,,,,,旋涡,旋渦,
buffIvSpellScroll322_ChargName,buffs,Buff,,,Three Realms,,,,,,三界,,,,,,三界,三界,
buffIvSpellScroll325_ChargName,buffs,Buff,,,Strong Cut,,,,,,強斬,,,,,,强斩,強斬,
buffIvSpellScroll328Burst_ChargName,buffs,Buff,,,Destroy the soul,,,,,,滅魂,,,,,,灭魂,滅魂,
buffIvSpellScroll415_ChargName,buffs,Buff,,,Hell Fire,,,,,,地獄業火,,,,,,地狱业火,地獄業火,
