Key,File,Type,english,tchinese
thrownEleArmSpellsSkySwordBomb,items,Gun,Sky Sword Bomb,天劍彈
thrownEleArmSpellsSkySwordBombDesc,items,Gun,"Explodes upon impact, causing a rain of countless swords that damage the target within the area.",丟出去觸碰後立即產生作用，範圍內持續落下數以萬計的利劍傷害目標。
thrownEleArmSpellsEnhanceAttackBomb,items,Gun,Power Boost Bomb,強攻彈
thrownEleArmSpellsEnhanceAttackBombDesc,items,Gun,"Explodes upon impact, temporarily enhancing the player's attack power and reducing the zombies' attack power.",丟出去觸碰後立即產生作用，持續時間內，對玩家提升攻擊力，對殭屍則是降低攻擊力。
thrownEleArmSpellsEnhanceDefenseBomb,items,Gun,Defense Boost Bomb,固防彈
thrownEleArmSpellsEnhanceDefenseBombDesc,items,Gun,"Explodes upon impact, temporarily enhancing the player's defense and reducing the zombies' defense.",丟出去觸碰後立即產生作用，持續時間內，對玩家提升防禦力，對殭屍則是降低防禦力。
thrownEleArmSpellsPhantomDemonBladeBomb,items,Gun,Phantom Demon Blade Bomb,幻影魔刃彈
thrownEleArmSpellsPhantomDemonBladeBombDesc,items,Gun,"Swiftly generates a massive spinning shuriken upon throw, slicing nearby enemies to death, emanating an eerie phantom-like aura.",投擲後迅速生成巨型旋轉十字鏢，將接近之敵割裂至死亡，散發幻影般的邪惡氛圍。

ammoBowArrowEleArmSpellsFire,items,Ammo,Burning Arrow,燃燒箭
ammoBowArrowEleArmSpellsFireDesc,items,Ammo,"Ignite the target, burning the enemy's life. (Elemental Hunter Bow Exclusive)",點燃目標，燃燒敵人的生命。(元素獵手弓專用)
ammoBowArrowEleArmSpellsIce,items,Ammo,Freezing Arrow,冰凍箭
ammoBowArrowEleArmSpellsIceDesc,items,Ammo,"Freeze enemies, rendering them immobile. (Elemental Hunter Bow Exclusive)",凍結敵人，讓他們動彈不得。(元素獵手弓專用)
ammoBowArrowEleArmSpellsPoison,items,Ammo,Poison Arrow,中毒箭
ammoBowArrowEleArmSpellsPoisonDesc,items,Ammo,"Release toxins, causing excruciating pain to enemies. (Elemental Hunter Bow Exclusive)",施放毒素，讓敵人痛苦不堪。(元素獵手弓專用)
ammoBowArrowEleArmSpellsElectricShock,items,Ammo,Electric Shock Arrow,電擊箭
ammoBowArrowEleArmSpellsElectricShockDesc,items,Ammo,"Electrocute enemies, paralyzing them. (Elemental Hunter Bow Exclusive)",用電擊打擊敵人，令他們麻痺不堪。(元素獵手弓專用)
ammoCrossbowArrowEleArmSpellsFire,items,Ammo,Bruning Crossbow Arrow,燃燒十字弓箭
ammoCrossbowArrowEleArmSpellsFireDesc,items,Ammo,"Ignite the target, burning the enemy's life. (Elemental Hunter Crossbow Exclusive)",點燃目標，燃燒敵人的生命。(元素獵手十字弓專用)
ammoCrossbowArrowEleArmSpellsIce,items,Ammo,Freezing Crossbow Arrow,冰凍十字弓箭
ammoCrossbowArrowEleArmSpellsIceDesc,items,Ammo,"Freeze enemies, rendering them immobile. (Elemental Hunter Crossbow Exclusive)",凍結敵人，讓他們動彈不得。(元素獵手十字弓專用)
ammoCrossbowArrowEleArmSpellsPoison,items,Ammo,Poison Crossbow Arrow,中毒十字弓箭
ammoCrossbowArrowEleArmSpellsPoisonDesc,items,Ammo,"Release toxins, causing excruciating pain to enemies. (Elemental Hunter Crossbow Exclusive)",施放毒素，讓敵人痛苦不堪。(元素獵手十字弓專用)
ammoCrossbowArrowEleArmSpellsElectricShock,items,Ammo,Electric Shock Crossbow Arrow,電擊十字弓箭
ammoCrossbowArrowEleArmSpellsElectricShockDesc,items,Ammo,"Electrocute enemies, paralyzing them. (Elemental Hunter Crossbow Exclusive)",用電擊打擊敵人，令他們麻痺不堪。(元素獵手十字弓專用)

ammoBowEleArmSpellsFlameBurstBomb,items,Ammo,Flame Burst Arrow,炎爆箭
ammoBowEleArmSpellsFlameBurstBombDesc,items,Ammo,"Upon hitting the target, it causes continuous burning within the area. (Elemental Hunter Bow Exclusive)",擊中目標後，範圍內持續性燃燒。(元素獵手弓專用)
ammoBowEleArmSpellsFrostBomb,items,Ammo,Frost Arrow,冰霜箭
ammoBowEleArmSpellsFrostBombDesc,items,Ammo,"Upon hitting the target, it causes continuous freezing within the area. (Elemental Hunter Bow Exclusive)",擊中目標後，範圍內持續性冰凍。(元素獵手弓專用)
ammoBowEleArmSpellsElectricArcImpactBomb,items,Ammo,Electric Arc Impact Arrow,電衝箭
ammoBowEleArmSpellsElectricArcImpactBombDesc,items,Ammo,"Upon hitting the target, it causes continuous electrical shocks within the area. (Elemental Hunter Bow Exclusive)",擊中目標後，範圍內持續性放電。(元素獵手弓專用)
ammoBowEleArmSpellsPoisonGasBomb,items,Ammo,Poison Gas Arrow,毒氣箭
ammoBowEleArmSpellsPoisonGasBombDesc,items,Ammo,"Upon hitting the target, it causes continuous poisoning within the area. (Elemental Hunter Bow Exclusive)",擊中目標後，範圍內持續性中毒。(元素獵手弓專用)
ammoCrossbowEleArmSpellsFlameBurstBomb,items,Ammo,Flame Burst Cross Arrow,炎爆十字弓箭
ammoCrossbowEleArmSpellsFlameBurstBombDesc,items,Ammo,"Upon hitting the target, it causes continuous burning within the area. (Elemental Hunter Crossbow Exclusive)",擊中目標後，範圍內持續性燃燒。(元素獵手十字弓專用)
ammoCrossbowEleArmSpellsFrostBomb,items,Ammo,Frost Cross Arrow,冰霜十字弓箭
ammoCrossbowEleArmSpellsFrostBombDesc,items,Ammo,"Upon hitting the target, it causes continuous freezing within the area. (Elemental Hunter Crossbow Exclusive)",擊中目標後，範圍內持續性冰凍。(元素獵手十字弓專用)
ammoCrossbowEleArmSpellsElectricArcImpactBomb,items,Ammo,Electric Arc Impact Cross Arrow,電衝十字弓箭
ammoCrossbowEleArmSpellsElectricArcImpactBombDesc,items,Ammo,"Upon hitting the target, it causes continuous electrical shocks within the area. (Elemental Hunter Crossbow Exclusive)",擊中目標後，範圍內持續性放電。(元素獵手十字弓專用)
ammoCrossbowEleArmSpellsPoisonGasBomb,items,Ammo,Poison Gas Cross Arrow,毒氣十字弓箭
ammoCrossbowEleArmSpellsPoisonGasBombDesc,items,Ammo,"Upon hitting the target, it causes continuous poisoning within the area. (Elemental Hunter Crossbow Exclusive)",擊中目標後，範圍內持續性中毒。(元素獵手十字弓專用)
meleeEleArmClubMorningStar,items,Melee,Ethereal Dawn Mace,幽晨戰錘
meleeEleArmClubMorningStarDesc,items,Melee,"Bringing together gore and violence, a mace infused with ancient incantations, carrying the might of primordial sorcery.",蘊含鮮血與暴力，淬鍊古老咒語的戰錘，充盈著遠古魔法的神秘力量。
meleeEleArmKnifeShadowBlade,items,Melee,Shadow Blade,影刃
meleeEleArmKnifeShadowBladeDesc,items,Melee,"A razor-sharp blade that effortlessly cuts through any obstacle. It amplifies its wielder's threat at night by enhancing attack power. Handle with caution, as great power demands careful control.",一把無比鋒利的武器，可以輕鬆斬斷任何障礙。夜晚它會提升攻擊力，讓持有者更具威脅性。

buffEleArmSpellsPurifyBombName,buffs,Buff,Power of Purification,淨化之力
buffEleArmSpellsPurifyBombDesc,buffs,Buff,Continuously restores health and removes negative effects for the duration.,持續時間內不斷恢復生命力，並移除不良狀態。
buffEleArmSpellsEnhanceAttackBombName,buffs,Buff,Enhanced Attack Power,強化攻擊力
buffEleArmSpellsEnhanceAttackBombDesc,buffs,Buff,Increases attack power and speed by 30% for the duration.,持續時間內，攻擊力+30%，攻擊速度+30%。
buffEleArmSpellsEnhanceDefenseBombName,buffs,Buff,Enhanced Defense Power,強化防禦力
buffEleArmSpellsEnhanceDefenseBombDesc,buffs,Buff,Increases physical and elemental resistance by 30% and improves resistance to certain negative effects for the duration.,持續時間內，物理抗性+30%，元素抗性+30%，抵抗部分不良狀態+30%。
