Key,File,Type,english,tchinese,spanish
perkDeadEyeKickDegreesRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Dead Eye"" skill.",限定「神槍手」技能所使用的武器。,
perkDeadEyeKickDegreesRank01Desc,progression,Perk,recoil -7.5%,後座力 -7.5%,
perkDeadEyeKickDegreesRank02Desc,progression,Perk,recoil -15%,後座力 -15%,
perkDeadEyeKickDegreesRank03Desc,progression,Perk,recoil -22.5%,後座力 -22.5%,
perkDeadEyeKickDegreesRank04Desc,progression,Perk,recoil -30%,後座力 -30%,
perkDeadEyeKickDegreesRank05Desc,progression,Perk,recoil -37.5%,後座力 -37.5%,
perkDeadEyeKickDegreesRank06Desc,progression,Perk,recoil -45%,後座力 -45%,
perkDeadEyeKickDegreesRank07Desc,progression,Perk,recoil -52.5%,後座力 -52.5%,
perkDeadEyeKickDegreesRank08Desc,progression,Perk,recoil -60%,後座力 -60%,
perkDeadEyeKickDegreesRank09Desc,progression,Perk,recoil -67.5%,後座力 -67.5%,
perkDeadEyeKickDegreesRank10Desc,progression,Perk,recoil -75%,後座力 -75%,
perkBoomstickEntityDamageName,progression,Perk,Dismembered: Physical Damage,肢離破碎: 實體傷害,
perkBoomstickEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkBoomstickEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Boomstick"" skill.",限定「移動靶射擊」技能所使用的武器。,
perkBoomstickEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkBoomstickEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkBoomstickEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkBoomstickEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkBoomstickEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkBoomstickEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkBoomstickEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkBoomstickEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkBoomstickEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkBoomstickEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkBoomstickMagazineSizeName,progression,Perk,Dismembered: Magazine Capacity,肢離破碎: 彈匣容量,
perkBoomstickMagazineSizeDesc,progression,Perk,Increase magazine capacity,增加彈匣容量,
perkBoomstickMagazineSizeRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Boomstick"" skill.",限定「移動靶射擊」技能所使用的武器。,
perkBoomstickMagazineSizeRank01Desc,progression,Perk,magazine capacity +20%,彈匣容量 +20%,
perkBoomstickMagazineSizeRank02Desc,progression,Perk,magazine capacity +40%,彈匣容量 +40%,
perkBoomstickMagazineSizeRank03Desc,progression,Perk,magazine capacity +60%,彈匣容量 +60%,
perkBoomstickMagazineSizeRank04Desc,progression,Perk,magazine capacity +80%,彈匣容量 +80%,
perkBoomstickMagazineSizeRank05Desc,progression,Perk,magazine capacity +100%,彈匣容量 +100%,
perkBoomstickMagazineSizeRank06Desc,progression,Perk,magazine capacity +120%,彈匣容量 +120%,
perkBoomstickMagazineSizeRank07Desc,progression,Perk,magazine capacity +140%,彈匣容量 +140%,
perkBoomstickMagazineSizeRank08Desc,progression,Perk,magazine capacity +160%,彈匣容量 +160%,
perkBoomstickMagazineSizeRank09Desc,progression,Perk,magazine capacity +180%,彈匣容量 +180%,
perkBoomstickMagazineSizeRank10Desc,progression,Perk,magazine capacity +200%,彈匣容量 +200%,
perkBoomstickShootingSpeedName,progression,Perk,Dismembered: Fire Speed,肢離破碎: 射擊速度,
perkBoomstickShootingSpeedDesc,progression,Perk,Increase fire rate,增加射擊速度,
perkBoomstickShootingSpeedRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Boomstick"" skill.",限定「移動靶射擊」技能所使用的武器。,
perkBoomstickShootingSpeedRank01Desc,progression,Perk,fire rate +20%,射擊速度 +20%,
perkBoomstickShootingSpeedRank02Desc,progression,Perk,fire rate +40%,射擊速度 +40%,
perkBoomstickShootingSpeedRank03Desc,progression,Perk,fire rate +60%,射擊速度 +60%,
perkBoomstickShootingSpeedRank04Desc,progression,Perk,fire rate +80%,射擊速度 +80%,
perkBoomstickShootingSpeedRank05Desc,progression,Perk,fire rate +100%,射擊速度 +100%,
perkBoomstickShootingSpeedRank06Desc,progression,Perk,fire rate +120%,射擊速度 +120%,
perkBoomstickShootingSpeedRank07Desc,progression,Perk,fire rate +140%,射擊速度 +140%,
perkBoomstickShootingSpeedRank08Desc,progression,Perk,fire rate +160%,射擊速度 +160%,
perkBoomstickShootingSpeedRank09Desc,progression,Perk,fire rate +180%,射擊速度 +180%,
perkBoomstickShootingSpeedRank10Desc,progression,Perk,fire rate +200%,射擊速度 +200%,
perkBoomstickReloadSpeedMultiplierName,progression,Perk,Dismembered: Reload Speed,肢離破碎: 裝填速度,
perkBoomstickReloadSpeedMultiplierDesc,progression,Perk,Increase reload speed,提升裝填速度,
perkBoomstickReloadSpeedMultiplierRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Boomstick"" skill.",限定「移動靶射擊」技能所使用的武器。,
perkBoomstickReloadSpeedMultiplierRank01Desc,progression,Perk,reload +17%,裝填速度 +17%,
perkBoomstickReloadSpeedMultiplierRank02Desc,progression,Perk,reload +34%,裝填速度 +34%,
perkBoomstickReloadSpeedMultiplierRank03Desc,progression,Perk,reload +51%,裝填速度 +51%,
perkBoomstickReloadSpeedMultiplierRank04Desc,progression,Perk,reload +68%,裝填速度 +68%,
perkBoomstickReloadSpeedMultiplierRank05Desc,progression,Perk,reload +85%,裝填速度 +85%,
perkBoomstickReloadSpeedMultiplierRank06Desc,progression,Perk,reload +102%,裝填速度 +102%,
perkBoomstickReloadSpeedMultiplierRank07Desc,progression,Perk,reload +119%,裝填速度 +119%,
perkBoomstickReloadSpeedMultiplierRank08Desc,progression,Perk,reload +136%,裝填速度 +136%,
perkBoomstickReloadSpeedMultiplierRank09Desc,progression,Perk,reload +153%,裝填速度 +153%,
perkBoomstickReloadSpeedMultiplierRank10Desc,progression,Perk,reload +170%,裝填速度 +170%,
perkBoomstickKickDegreesName,progression,Perk,Dismembered: Recoil,肢離破碎: 後座力,
perkBoomstickKickDegreesDesc,progression,Perk,Reduced recoil for aiming shots,降低瞄準射擊的後座力,
perkBoomstickKickDegreesRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Boomstick"" skill.",限定「移動靶射擊」技能所使用的武器。,
perkBoomstickKickDegreesRank01Desc,progression,Perk,recoil -7.5%,後座力 -7.5%,
perkBoomstickKickDegreesRank02Desc,progression,Perk,recoil -15%,後座力 -15%,
perkBoomstickKickDegreesRank03Desc,progression,Perk,recoil -22.5%,後座力 -22.5%,
perkBoomstickKickDegreesRank04Desc,progression,Perk,recoil -30%,後座力 -30%,
perkBoomstickKickDegreesRank05Desc,progression,Perk,recoil -37.5%,後座力 -37.5%,
perkBoomstickKickDegreesRank06Desc,progression,Perk,recoil -45%,後座力 -45%,
perkBoomstickKickDegreesRank07Desc,progression,Perk,recoil -52.5%,後座力 -52.5%,
perkBoomstickKickDegreesRank08Desc,progression,Perk,recoil -60%,後座力 -60%,
perkBoomstickKickDegreesRank09Desc,progression,Perk,recoil -67.5%,後座力 -67.5%,
perkBoomstickKickDegreesRank10Desc,progression,Perk,recoil -75%,後座力 -75%,
perkMachineGunnerEntityDamageName,progression,Perk,Honeycomb: Physical Damage,千瘡百孔: 實體傷害,
perkMachineGunnerEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkMachineGunnerEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Machine Gunner"" skill.",限定「機槍手」技能所使用的武器。,
perkMachineGunnerEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkMachineGunnerEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkMachineGunnerEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkMachineGunnerEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkMachineGunnerEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkMachineGunnerEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkMachineGunnerEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkMachineGunnerEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkMachineGunnerEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkMachineGunnerEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkMachineGunnerShootingSpeedName,progression,Perk,Honeycomb: Fire Speed,千瘡百孔: 射擊速度,
perkMachineGunnerShootingSpeedDesc,progression,Perk,Increase fire rate,增加射擊速度,
perkMachineGunnerShootingSpeedRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Machine Gunner"" skill.",限定「機槍手」技能所使用的武器。,
perkMachineGunnerShootingSpeedRank01Desc,progression,Perk,fire rate +20%,射速 +20%,
perkMachineGunnerShootingSpeedRank02Desc,progression,Perk,fire rate +40%,射速 +40%,
perkMachineGunnerShootingSpeedRank03Desc,progression,Perk,fire rate +60%,射速 +60%,
perkMachineGunnerShootingSpeedRank04Desc,progression,Perk,fire rate +80%,射速 +80%,
perkMachineGunnerShootingSpeedRank05Desc,progression,Perk,fire rate +100%,射速 +100%,
perkMachineGunnerShootingSpeedRank06Desc,progression,Perk,fire rate +120%,射速 +120%,
perkMachineGunnerShootingSpeedRank07Desc,progression,Perk,fire rate +140%,射速 +140%,
perkMachineGunnerShootingSpeedRank08Desc,progression,Perk,fire rate +160%,射速 +160%,
perkMachineGunnerShootingSpeedRank09Desc,progression,Perk,fire rate +180%,射速 +180%,
perkMachineGunnerShootingSpeedRank10Desc,progression,Perk,fire rate +200%,射速 +200%,
perkMachineGunnerReloadSpeedMultiplierName,progression,Perk,Honeycomb: Reload Speed,千瘡百孔: 裝填速度,
perkMachineGunnerReloadSpeedMultiplierDesc,progression,Perk,Increase reload speed,提升裝填速度,
perkMachineGunnerReloadSpeedMultiplierRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Machine Gunner"" skill.",限定「機槍手」技能所使用的武器。,
perkMachineGunnerReloadSpeedMultiplierRank01Desc,progression,Perk,reload +17%,裝填速度 +17%,
perkMachineGunnerReloadSpeedMultiplierRank02Desc,progression,Perk,reload +34%,裝填速度 +34%,
perkMachineGunnerReloadSpeedMultiplierRank03Desc,progression,Perk,reload +51%,裝填速度 +51%,
perkMachineGunnerReloadSpeedMultiplierRank04Desc,progression,Perk,reload +68%,裝填速度 +68%,
perkMachineGunnerReloadSpeedMultiplierRank05Desc,progression,Perk,reload +85%,裝填速度 +85%,
perkMachineGunnerReloadSpeedMultiplierRank06Desc,progression,Perk,reload +102%,裝填速度 +102%,
perkMachineGunnerReloadSpeedMultiplierRank07Desc,progression,Perk,reload +119%,裝填速度 +119%,
perkMachineGunnerReloadSpeedMultiplierRank08Desc,progression,Perk,reload +136%,裝填速度 +136%,
perkMachineGunnerReloadSpeedMultiplierRank09Desc,progression,Perk,reload +153%,裝填速度 +153%,
perkMachineGunnerReloadSpeedMultiplierRank10Desc,progression,Perk,reload +170%,裝填速度 +170%,
perkMachineGunnerKickDegreesName,progression,Perk,Honeycomb: Recoil,千瘡百孔: 後座力,
perkMachineGunnerKickDegreesDesc,progression,Perk,Reduced recoil for aiming shots,降低瞄準射擊的後座力,
perkMachineGunnerKickDegreesRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Machine Gunner"" skill.",限定「機槍手」技能所使用的武器。,
perkMachineGunnerKickDegreesRank01Desc,progression,Perk,recoil -7.5%,後座力 -7.5%,
perkMachineGunnerKickDegreesRank02Desc,progression,Perk,recoil -15%,後座力 -15%,
perkMachineGunnerKickDegreesRank03Desc,progression,Perk,recoil -22.5%,後座力 -22.5%,
perkMachineGunnerKickDegreesRank04Desc,progression,Perk,recoil -30%,後座力 -30%,
perkMachineGunnerKickDegreesRank05Desc,progression,Perk,recoil -37.5%,後座力 -37.5%,
perkMachineGunnerKickDegreesRank06Desc,progression,Perk,recoil -45%,後座力 -45%,
perkMachineGunnerKickDegreesRank07Desc,progression,Perk,recoil -52.5%,後座力 -52.5%,
perkMachineGunnerKickDegreesRank08Desc,progression,Perk,recoil -60%,後座力 -60%,
perkMachineGunnerKickDegreesRank09Desc,progression,Perk,recoil -67.5%,後座力 -67.5%,
perkMachineGunnerKickDegreesRank10Desc,progression,Perk,recoil -75%,後座力 -75%,
perkArcheryEntityDamageName,progression,Perk,Absolute Hit: Physical Damage,百發百中: 實體傷害,
perkArcheryEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkArcheryEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Archery"" skill.",限定「箭術」技能所使用的武器。,
perkArcheryEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkArcheryEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkArcheryEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkArcheryEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkArcheryEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkArcheryEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkArcheryEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkArcheryEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkArcheryEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkArcheryEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkArcheryShootingSpeedName,progression,Perk,Absolute Hit: Fire Speed,百發百中: 射擊速度,
perkArcheryShootingSpeedDesc,progression,Perk,Increase fire rate,增加射擊速度,
perkArcheryShootingSpeedRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Archery"" skill.",限定「箭術」技能所使用的武器。,
perkArcheryShootingSpeedRank01Desc,progression,Perk,fire rate +20%,射速 +20%,
perkArcheryShootingSpeedRank02Desc,progression,Perk,fire rate +40%,射速 +40%,
perkArcheryShootingSpeedRank03Desc,progression,Perk,fire rate +60%,射速 +60%,
perkArcheryShootingSpeedRank04Desc,progression,Perk,fire rate +80%,射速 +80%,
perkArcheryShootingSpeedRank05Desc,progression,Perk,fire rate +100%,射速 +100%,
perkArcheryShootingSpeedRank06Desc,progression,Perk,fire rate +120%,射速 +120%,
perkArcheryShootingSpeedRank07Desc,progression,Perk,fire rate +140%,射速 +140%,
perkArcheryShootingSpeedRank08Desc,progression,Perk,fire rate +160%,射速 +160%,
perkArcheryShootingSpeedRank09Desc,progression,Perk,fire rate +180%,射速 +180%,
perkArcheryShootingSpeedRank10Desc,progression,Perk,fire rate +200%,射速 +200%,
perkArcheryReloadSpeedMultiplierName,progression,Perk,Absolute Hit: Reload Speed,百發百中: 裝填速度,
perkArcheryReloadSpeedMultiplierDesc,progression,Perk,Increase reload speed,提升裝填速度,
perkArcheryReloadSpeedMultiplierRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Archery"" skill.",限定「箭術」技能所使用的武器。,
perkArcheryReloadSpeedMultiplierRank01Desc,progression,Perk,reload +15%,裝填速度 +15%,
perkArcheryReloadSpeedMultiplierRank02Desc,progression,Perk,reload +30%,裝填速度 +30%,
perkArcheryReloadSpeedMultiplierRank03Desc,progression,Perk,reload +45%,裝填速度 +45%,
perkArcheryReloadSpeedMultiplierRank04Desc,progression,Perk,reload +60%,裝填速度 +60%,
perkArcheryReloadSpeedMultiplierRank05Desc,progression,Perk,reload +75%,裝填速度 +75%,
perkArcheryReloadSpeedMultiplierRank06Desc,progression,Perk,reload +90%,裝填速度 +90%,
perkArcheryReloadSpeedMultiplierRank07Desc,progression,Perk,reload +105%,裝填速度 +105%,
perkArcheryReloadSpeedMultiplierRank08Desc,progression,Perk,reload +120%,裝填速度 +120%,
perkArcheryReloadSpeedMultiplierRank09Desc,progression,Perk,reload +135%,裝填速度 +135%,
perkArcheryReloadSpeedMultiplierRank10Desc,progression,Perk,reload +150%,裝填速度 +150%,
perkArcheryRangeName,progression,Perk,Absolute Hit: Range,百發百中: 射程,
perkArcheryRangeDesc,progression,Perk,Increased maximum range and effective range,增加最大射程和有效射程,
perkArcheryRangeRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Archery"" skill.",限定「箭術」技能所使用的武器。,
perkArcheryRangeRank01Desc,progression,Perk,range +10%,射程 +10%,
perkArcheryRangeRank02Desc,progression,Perk,range +20%,射程 +20%,
perkArcheryRangeRank03Desc,progression,Perk,range +30%,射程 +30%,
perkArcheryRangeRank04Desc,progression,Perk,range +40%,射程 +40%,
perkArcheryRangeRank05Desc,progression,Perk,range +50%,射程 +50%,
perkArcheryRangeRank06Desc,progression,Perk,range +60%,射程 +60%,
perkArcheryRangeRank07Desc,progression,Perk,range +70%,射程 +70%,
perkArcheryRangeRank08Desc,progression,Perk,range +80%,射程 +80%,
perkArcheryRangeRank09Desc,progression,Perk,range +90%,射程 +90%,
perkArcheryRangeRank10Desc,progression,Perk,range +100%,射程 +100%,
perkArcheryProjectileVelocityName,progression,Perk,Absolute Hit: Flying Speed,百發百中: 飛行速度,
perkArcheryProjectileVelocityDesc,progression,Perk,Increase projectile speed,提升投射物的飛行速度,
perkArcheryProjectileVelocityRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Archery"" skill.",限定「箭術」技能所使用的武器。,
perkArcheryProjectileVelocityRank01Desc,progression,Perk,projectile speed +20%,飛行速度 +20%,
perkArcheryProjectileVelocityRank02Desc,progression,Perk,projectile speed +40%,飛行速度 +40%,
perkArcheryProjectileVelocityRank03Desc,progression,Perk,projectile speed +60%,飛行速度 +60%,
perkArcheryProjectileVelocityRank04Desc,progression,Perk,projectile speed +80%,飛行速度 +80%,
perkArcheryProjectileVelocityRank05Desc,progression,Perk,projectile speed +100%,飛行速度 +100%,
perkArcheryProjectileVelocityRank06Desc,progression,Perk,projectile speed +120%,飛行速度 +120%,
perkArcheryProjectileVelocityRank07Desc,progression,Perk,projectile speed +140%,飛行速度 +140%,
perkArcheryProjectileVelocityRank08Desc,progression,Perk,projectile speed +160%,飛行速度 +160%,
perkArcheryProjectileVelocityRank09Desc,progression,Perk,projectile speed +180%,飛行速度 +180%,
perkArcheryProjectileVelocityRank10Desc,progression,Perk,projectile speed +200%,飛行速度 +200%,
perkGunslingerEntityDamageName,progression,Perk,Agent: Physical Damage,特工: 實體傷害,
perkGunslingerEntityDamageDesc,progression,Perk,Increase physical damage,增加實體傷害,
perkGunslingerEntityDamageRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Gunslinger"" skill.",限定「神槍手」技能所使用的武器。,
perkGunslingerEntityDamageRank01Desc,progression,Perk,physical damage +20%,實體傷害 +20%,
perkGunslingerEntityDamageRank02Desc,progression,Perk,physical damage +40%,實體傷害 +40%,
perkGunslingerEntityDamageRank03Desc,progression,Perk,physical damage +60%,實體傷害 +60%,
perkGunslingerEntityDamageRank04Desc,progression,Perk,physical damage +80%,實體傷害 +80%,
perkGunslingerEntityDamageRank05Desc,progression,Perk,physical damage +100%,實體傷害 +100%,
perkGunslingerEntityDamageRank06Desc,progression,Perk,physical damage +120%,實體傷害 +120%,
perkGunslingerEntityDamageRank07Desc,progression,Perk,physical damage +140%,實體傷害 +140%,
perkGunslingerEntityDamageRank08Desc,progression,Perk,physical damage +160%,實體傷害 +160%,
perkGunslingerEntityDamageRank09Desc,progression,Perk,physical damage +180%,實體傷害 +180%,
perkGunslingerEntityDamageRank10Desc,progression,Perk,physical damage +200%,實體傷害 +200%,
perkGunslingerMagazineSizeName,progression,Perk,Agent: Magazine Capacity,特工: 彈匣容量,
perkGunslingerMagazineSizeDesc,progression,Perk,Increase magazine capacity,增加彈匣容量,
perkGunslingerMagazineSizeRankLongDesc,progression,Perk,"Limited to the weapons used by the ""Gunslinger"" skill.",限定「神槍手」技能所使用的武器。,
perkGunslingerMagazineSizeRank01Desc,progression,Perk,magazine capacity +20%,彈匣容量 +20%,
perkGunslingerMagazineSizeRank02Desc,progression,Perk,magazine capacity +40%,彈匣容量 +40%,
perkGunslingerMagazineSizeRank03Desc,progression,Perk,magazine capacity +60%,彈匣容量 +60%,
perkGunslingerMagazineSizeRank04Desc,progression,Perk,magazine capacity +80%,彈匣容量 +80%,
perkGunslingerMagazineSizeRank05Desc,progression,Perk,magazine capacity +100%,彈匣容量 +100%,
perkGunslingerMagazineSizeRank06Desc,progression,Perk,magazine capacity +120%,彈匣容量 +120%,
perkGunslingerMagazineSizeRank07Desc,progression,Perk,magazine capacity +140%,彈匣容量 +140%,
perkGunslingerMagazineSizeRank08Desc,progression,Perk,magazine capacity +160%,彈匣容量 +160%,
perkGunslingerMagazineSizeRank09Desc,progression,Perk,magazine capacity +180%,彈匣容量 +180%,
perkGunslingerMagazineSizeRank10Desc,progression,Perk,magazine capacity +200%,彈匣容量 +200%,
